team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
Pakistan,West Indies,229,202,8,10,away,away,Pakistan,27.0,runs,Day,ICC World Cup,Azhar Mahmood,Pakistan,"County Ground, Bristol",Pakistan,bat first,Bristol,Bishopston,England,1999-05-16
Bangladesh,New Zealand,116,117,10,4,away,away,New Zealand,6.0,wickets,Day,ICC World Cup,Gavin Larsen,New Zealand,"County Ground, Chelmsford",New Zealand,field first,Chelmsford,New Writtle Street,England,1999-05-17
Kenya,England,203,204,10,1,away,home,England,9.0,wickets,Day,ICC World Cup,Steve Tikolo,Kenya,"St Lawrence Ground, Canterbury",England,field first,Canterbury,Canterbury,England,1999-05-18
Zimbabwe,India,252,249,9,10,away,away,Zimbabwe,3.0,runs,Day,ICC World Cup,Grant Flower,Zimbabwe,"Grace Road, Leicester",India,field first,Leicester,Leicester,England,1999-05-19
South Africa,Sri Lanka,199,110,9,10,away,away,South Africa,89.0,runs,Day,ICC World Cup,Lance Klusener,South Africa,"County Ground, Northampton",Sri Lanka,field first,Northampton,Wantage Road,England,1999-05-19
Australia,New Zealand,213,214,8,5,away,away,New Zealand,5.0,wickets,Day,ICC World Cup,Roger Twose,New Zealand,"Sophia Gardens, Cardiff",Australia,bat first,Cardiff,Cardiff,Wales,1999-05-20
Pakistan,Scotland,261,167,6,10,away,away,Pakistan,94.0,runs,Day,ICC World Cup,Mohammad Yousuf,Pakistan,"Riverside Ground, Chester-le-Street",Scotland,field first,Chester-le-Street,Chester-le-Street,England,1999-05-20
Bangladesh,West Indies,182,183,10,3,away,away,West Indies,7.0,wickets,Day,ICC World Cup,Courtney Walsh,West Indies,"Clontarf Cricket Club Ground, Dublin",Bangladesh,bat first,Dublin,Clontarf,Ireland,1999-05-21
South Africa,England,225,103,7,10,away,home,South Africa,122.0,runs,Day,ICC World Cup,Lance Klusener,South Africa,"Kennington Oval, London",England,field first,The Oval,London,England,1999-05-22
Zimbabwe,Sri Lanka,197,198,9,6,away,away,Sri Lanka,4.0,wickets,Day,ICC World Cup,Marvan Atapattu,Sri Lanka,"County Ground, New Road, Worcester",Sri Lanka,field first,Worcester,New Road,England,1999-05-22
