team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
Sri Lanka,South Africa,247,250,4,2,away,home,South Africa,8.0,wickets,Day and night,Sri Lanka tour of South Africa,Jacques Kallis,South Africa,"Boland Bank Park, Paarl",Sri Lanka,bat first,Paarl,Paarl,South Africa,2001-01-09
Australia,West Indies,267,193,6,7,home,away,Australia,74.0,runs,Day and night,Carlton Series,Ricky Ponting,Australia,Melbourne Cricket Ground,Australia,bat first,Melbourne,Jolimont,Australia,2001-01-11
South Africa,Sri Lanka,290,191,7,10,home,away,South Africa,99.0,runs,Day and night,Sri Lanka tour of South Africa,Makhaya Ntini,South Africa,"Newlands, Cape Town",South Africa,bat first,Cape Town,Cape Town,South Africa,2001-01-11
Zimbabwe,West Indies,240,241,9,9,away,away,West Indies,1.0,wicket,Day and night,Carlton Series,Ricardo Powell,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Zimbabwe,bat first,Brisbane,Woolloongabba,Australia,2001-01-13
West Indies,Australia,234,236,8,1,away,home,Australia,9.0,wickets,Day and night,Carlton Series,Mark Waugh,Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane",West Indies,bat first,Brisbane,Woolloongabba,Australia,2001-01-14
Sri Lanka,South Africa,206,207,10,5,away,home,South Africa,5.0,wickets,Day,Sri Lanka tour of South Africa,Herschelle Gibbs,South Africa,"Goodyear Park, Bloemfontein",South Africa,field first,Bloemfontein,Bloemfontein,South Africa,2001-01-14
Australia,West Indies,277,211,4,8,home,away,Australia,28.0,runs,Day and night,Carlton Series,Brian Lara,West Indies,Sydney Cricket Ground,West Indies,field first,Sydney,Moore Park,Australia,2001-01-17
Sri Lanka,South Africa,214,204,6,10,away,home,Sri Lanka,4.0,runs,Day and night,Sri Lanka tour of South Africa,Russel Arnold,Sri Lanka,"New Wanderers Stadium, Johannesburg",South Africa,field first,Johannesburg,Johannesburg,South Africa,2001-01-17
Zimbabwe,Australia,223,226,9,2,away,home,Australia,8.0,wickets,Day and night,Carlton Series,Darren Lehmann,Australia,Melbourne Cricket Ground,Zimbabwe,bat first,Melbourne,Jolimont,Australia,2001-01-21
Zimbabwe,West Indies,138,91,10,10,away,away,Zimbabwe,47.0,runs,Day and night,Carlton Series,Heath Streak,Zimbabwe,Sydney Cricket Ground,West Indies,field first,Sydney,Moore Park,Australia,2001-01-23
West Indies,Zimbabwe,235,175,6,10,away,away,West Indies,77.0,runs,Day and night,Carlton Series,Marlon Samuels,West Indies,Adelaide Oval,West Indies,bat first,Adelaide,North Adelaide,Australia,2001-01-25
West Indies,Australia,123,124,10,0,away,home,Australia,10.0,wickets,Day and night,Carlton Series,Brett Lee,Australia,Adelaide Oval,West Indies,bat first,Adelaide,North Adelaide,Australia,2001-01-26
Australia,Zimbabwe,291,205,6,10,home,away,Australia,86.0,runs,Day and night,Carlton Series,Michael Bevan,Australia,Sydney Cricket Ground,Australia,bat first,Sydney,Moore Park,Australia,2001-01-28
Zimbabwe,Australia,279,282,6,4,away,home,Australia,6.0,wickets,Day,Carlton Series,Alistair Campbell,Zimbabwe,"Bellerive Oval, Hobart",Australia,field first,Hobart,Bellerive,Australia,2001-01-30
Sri Lanka,New Zealand,213,152,8,10,away,home,Sri Lanka,61.0,runs,Day and night,Sri Lanka tour of New Zealand,Muthiah Muralidaran,Sri Lanka,"McLean Park, Napier",Sri Lanka,bat first,Napier,Napier,New Zealand,2001-01-31
West Indies,Zimbabwe,178,134,10,10,away,away,West Indies,44.0,runs,Day and night,Carlton Series,Brian Lara,West Indies,"Western Australia Cricket Association Ground, Perth",West Indies,bat first,Perth,East Perth,Australia,2001-02-02
New Zealand,Sri Lanka,205,209,8,7,home,away,Sri Lanka,3.0,wickets,Day and night,Sri Lanka tour of New Zealand,Russel Arnold,Sri Lanka,"WestpacTrust Stadium, Wellington",New Zealand,bat first,Wellington,Wellington,New Zealand,2001-02-03
Australia,Zimbabwe,302,301,5,6,home,away,Australia,1.0,run,Day,Carlton Series,Damien Martyn,Australia,"Western Australia Cricket Association Ground, Perth",Australia,bat first,Perth,East Perth,Australia,2001-02-04
New Zealand,Sri Lanka,181,182,10,1,home,away,Sri Lanka,9.0,wickets,Day,Sri Lanka tour of New Zealand,Sanath Jayasuriya,Sri Lanka,"Eden Park, Auckland",Sri Lanka,field first,Auckland,Auckland,New Zealand,2001-02-06
Australia,West Indies,253,119,9,10,home,away,Australia,134.0,runs,Day and night,Carlton Series,Ian Harvey,Australia,Sydney Cricket Ground,West Indies,field first,Sydney,Moore Park,Australia,2001-02-07
New Zealand,Sri Lanka,182,155,9,5,home,away,Sri Lanka,3.0,runs,Day,Sri Lanka tour of New Zealand,Sanath Jayasuriya,Sri Lanka,"WestpacTrust Park, Hamilton",Sri Lanka,field first,Hamilton,Hamilton,New Zealand,2001-02-08
Australia,West Indies,338,299,6,10,home,away,Australia,39.0,runs,Day and night,Carlton Series,Mark Waugh,Australia,Melbourne Cricket Ground,West Indies,field first,Melbourne,Jolimont,Australia,2001-02-09
New Zealand,Sri Lanka,282,269,6,10,home,away,New Zealand,13.0,runs,Day,Sri Lanka tour of New Zealand,Jacob Oram,New Zealand,"Jade Stadium, Christchurch",Sri Lanka,field first,Christchurch,Christchurch,New Zealand,2001-02-11
New Zealand,Pakistan,149,150,10,4,home,away,Pakistan,6.0,wickets,Day and night,Pakistan tour of New Zealand,Shoaib Akhtar,Pakistan,"Eden Park, Auckland",Pakistan,field first,Auckland,Auckland,New Zealand,1996-01-01
Pakistan,New Zealand,135,136,10,4,away,home,New Zealand,6.0,wickets,Day and night,Pakistan tour of New Zealand,Daryl Tuffey,New Zealand,"McLean Park, Napier",New Zealand,field first,Napier,Napier,New Zealand,2001-02-20
Pakistan,New Zealand,243,215,9,10,away,home,Pakistan,28.0,runs,Day and night,Pakistan tour of New Zealand,Saqlain Mushtaq,Pakistan,"WestpacTrust Stadium, Wellington",New Zealand,field first,Wellington,Wellington,New Zealand,2001-02-22
New Zealand,Pakistan,284,146,5,10,home,away,New Zealand,138.0,runs,Day,Pakistan tour of New Zealand,Craig McMillan,New Zealand,"Jade Stadium, Christchurch",Pakistan,field first,Christchurch,Christchurch,New Zealand,2001-02-25
Pakistan,New Zealand,285,290,10,6,away,home,New Zealand,4.0,wickets,Day and night,Pakistan tour of New Zealand,Nathan Astle,New Zealand,"Carisbrook, Dunedin",Pakistan,bat first,Dunedin,Dunedin,New Zealand,2001-02-28
England,Sri Lanka,143,144,10,5,away,home,Sri Lanka,5.0,wickets,Day,England tour of Sri Lanka,Muthiah Muralidaran,Sri Lanka,Rangiri Dambulla International Stadium,England,bat first,Dambulla,Dambulla,Sri Lanka,2001-03-23
Sri Lanka,England,226,160,6,10,home,away,Sri Lanka,66.0,runs,Day and night,England tour of Sri Lanka,Mahela Jayawardene,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-03-25
India,Australia,315,255,10,10,home,away,India,60.0,runs,Day and night,Australia tour of India,Virender Sehwag,India,"M Chinnaswamy Stadium, Bangalore",India,bat first,Bengaluru,Bengaluru,India,2001-03-25
England,Sri Lanka,165,166,9,0,away,home,Sri Lanka,10.0,wickets,Day,England tour of Sri Lanka,Romesh Kaluwitharana,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,field first,Colombo (SSC),Colombo,Sri Lanka,2001-03-27
India,Australia,248,249,9,2,home,away,Australia,8.0,wickets,Day,Australia tour of India,Mark Waugh,Australia,"Nehru Stadium, Pune",India,bat first,Pune,Pune,India,2001-03-28
India,Australia,299,181,8,10,home,away,India,118.0,runs,Day,Australia tour of India,Sachin Tendulkar,India,"Nehru Stadium, Indore",Australia,field first,Indore,Indore,India,2001-03-31
Australia,India,338,245,4,10,away,home,Australia,93.0,runs,Day,Australia tour of India,Matthew Hayden,Australia,"Indira Priyadarshini Stadium, Visakhapatnam",Australia,bat first,Visakhapatnam,Visakhapatnam,India,2001-04-03
India,Australia,265,269,6,6,home,away,Australia,4.0,wickets,Day,Australia tour of India,Michael Bevan,Australia,"Nehru Stadium, Fatorda, Margao",India,bat first,Margao,Margao,India,2001-04-06
Bangladesh,Zimbabwe,151,155,8,3,away,home,Zimbabwe,7.0,wickets,Day,Bangladesh tour of Zimbabwe,Bryan Strang,Zimbabwe,Harare Sports Club,Bangladesh,bat first,Harare,Harare,Zimbabwe,2001-04-07
Zimbabwe,Bangladesh,230,103,7,10,home,away,Zimbabwe,127.0,runs,Day,Bangladesh tour of Zimbabwe,Alistair Campbell,Zimbabwe,Harare Sports Club,Bangladesh,field first,Harare,Harare,Zimbabwe,2001-04-08
Pakistan,Sri Lanka,255,239,9,10,away,away,Pakistan,16.0,runs,Day and night,ARY Gold Cup,Saeed Anwar,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,2001-04-08
Sri Lanka,New Zealand,269,163,9,10,away,away,Sri Lanka,106.0,runs,Day and night,ARY Gold Cup,Mahela Jayawardene,Sri Lanka,Sharjah Cricket Association Stadium,Sri Lanka,bat first,Sharjah,Sharjah,United Arab Emirates,2001-04-10
Zimbabwe,Bangladesh,308,272,4,8,home,away,Zimbabwe,36.0,runs,Day,Bangladesh tour of Zimbabwe,Grant Flower,Zimbabwe,"Queens Sports Club, Bulawayo",Zimbabwe,bat first,Bulawayo,Bulawayo,Zimbabwe,2001-04-11
New Zealand,Pakistan,266,270,7,2,away,away,Pakistan,8.0,wickets,Day and night,ARY Gold Cup,Shahid Afridi,Pakistan,Sharjah Cricket Association Stadium,New Zealand,bat first,Sharjah,Sharjah,United Arab Emirates,2001-04-12
Pakistan,Sri Lanka,278,250,9,8,away,away,Pakistan,28.0,runs,Day and night,ARY Gold Cup,Saeed Anwar,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,2001-04-13
New Zealand,Pakistan,127,131,10,3,away,away,Pakistan,7.0,wickets,Day and night,ARY Gold Cup,Saqlain Mushtaq,Pakistan,Sharjah Cricket Association Stadium,New Zealand,bat first,Sharjah,Sharjah,United Arab Emirates,2001-04-15
New Zealand,Sri Lanka,248,169,6,8,away,away,New Zealand,79.0,runs,Day and night,ARY Gold Cup,Mathew Sinclair,New Zealand,Sharjah Cricket Association Stadium,Sri Lanka,field first,Sharjah,Sharjah,United Arab Emirates,2001-04-17
Sri Lanka,Pakistan,297,220,7,10,away,away,Sri Lanka,77.0,runs,Day and night,ARY Gold Cup,Marvan Atapattu,Sri Lanka,Sharjah Cricket Association Stadium,Sri Lanka,bat first,Sharjah,Sharjah,United Arab Emirates,2001-04-20
South Africa,West Indies,200,202,10,7,away,home,West Indies,3.0,wickets,Day,South Africa tour of West Indies,Neil McGarrell,West Indies,"Sabina Park, Kingston, Jamaica",West Indies,field first,Kingston,Kingston,West Indies,2001-04-28
West Indies,South Africa,220,221,8,2,home,away,South Africa,8.0,wickets,Day,South Africa tour of West Indies,Herschelle Gibbs,South Africa,"Antigua Recreation Ground, St John's, Antigua",South Africa,field first,St John's,St John's,West Indies,2001-05-02
South Africa,West Indies,287,155,4,10,away,away,South Africa,132.0,runs,Day,South Africa tour of West Indies,Jacques Kallis,South Africa,"Queen's Park (New), St George's, Grenada",West Indies,field first,St George's,St George's,Grenada,2001-05-05
West Indies,South Africa,200,201,10,2,away,away,South Africa,8.0,wickets,Day,South Africa tour of West Indies,Allan Donald,South Africa,"Queen's Park (New), St George's, Grenada",South Africa,field first,St George's,St George's,Grenada,2001-05-06
West Indies,South Africa,199,202,10,3,home,away,South Africa,7.0,wickets,Day,South Africa tour of West Indies,Herschelle Gibbs,South Africa,"Kensington Oval, Bridgetown, Barbados",South Africa,field first,Bridgetown,Bridgetown,West Indies,2001-05-09
South Africa,West Indies,190,137,10,10,away,home,South Africa,53.0,runs,Day,South Africa tour of West Indies,Neil McKenzie,South Africa,"Queen's Park Oval, Port of Spain, Trinidad",West Indies,field first,Port of Spain,Port of Spain,West Indies,2001-05-12
South Africa,West Indies,163,164,7,4,away,home,West Indies,6.0,wickets,Day,South Africa tour of West Indies,Cameron Cuffy,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",South Africa,bat first,Kingstown,Arnos Vale,West Indies,2001-05-16
Pakistan,England,273,165,6,10,away,home,Pakistan,108.0,runs,Day and night,NatWest Series,Saeed Anwar,Pakistan,"Edgbaston, Birmingham",Pakistan,bat first,Birmingham,Birmingham,England,2001-06-07
Pakistan,Australia,257,258,10,3,away,away,Australia,7.0,wickets,Day,NatWest Series,Ricky Ponting,Australia,"Sophia Gardens, Cardiff",Pakistan,bat first,Cardiff,Cardiff,Wales,2001-06-09
England,Australia,268,272,4,5,home,away,Australia,5.0,wickets,Day,NatWest Series,Ricky Ponting,Australia,"The Royal & Sun Alliance County Ground, Bristol",England,bat first,Bristol,Bishopston,England,2001-06-10
Pakistan,England,242,240,8,10,away,home,Pakistan,2.0,runs,Day,NatWest Series,Marcus Trescothick,England,"Lord's, London",England,field first,Lord's,St John's Wood Road,England,2001-06-12
Australia,England,208,86,7,10,away,home,Australia,125.0,runs,Day and night,NatWest Series,Jason Gillespie,Australia,"Old Trafford, Manchester",Australia,bat first,Manchester,Stretford,England,2001-06-14
England,Pakistan,156,153,10,4,home,away,Pakistan awarded the match (opposition conceded),35.52088452088452,runs,Day,NatWest Series,Waqar Younis,Pakistan,"Headingley, Leeds",Pakistan,field first,Leeds,Leeds,England,2001-06-17
Pakistan,Australia,290,254,9,10,away,away,Pakistan,36.0,runs,Day and night,NatWest Series,Waqar Younis,Pakistan,"Trent Bridge, Nottingham",Pakistan,bat first,Nottingham,Nottingham,England,2001-06-19
England,Australia,176,177,10,2,home,away,Australia,8.0,wickets,Day,NatWest Series,Ricky Ponting,Australia,"Kennington Oval, London",England,bat first,The Oval,London,England,2001-06-21
West Indies,Zimbabwe,266,239,5,9,away,home,West Indies,27.0,runs,Day,Coca-Cola Cup (Zimbabwe),Cameron Cuffy,West Indies,Harare Sports Club,Zimbabwe,field first,Harare,Harare,Zimbabwe,2001-06-23
Pakistan,Australia,152,156,10,1,away,away,Australia,9.0,wickets,Day,NatWest Series,Adam Gilchrist,Australia,"Lord's, London",Pakistan,bat first,Lord's,St John's Wood Road,England,2001-06-23
Zimbabwe,India,133,137,10,1,home,away,India,9.0,wickets,Day,Coca-Cola Cup (Zimbabwe),Sachin Tendulkar,India,Harare Sports Club,India,field first,Harare,Harare,Zimbabwe,2001-06-24
Zimbabwe,India,234,237,6,6,home,away,India,4.0,wickets,Day,Coca-Cola Cup (Zimbabwe),Rahul Dravid,India,"Queens Sports Club, Bulawayo",India,field first,Bulawayo,Bulawayo,Zimbabwe,2001-06-27
West Indies,India,169,170,7,4,away,away,India,6.0,wickets,Day,Coca-Cola Cup (Zimbabwe),Sachin Tendulkar,India,"Queens Sports Club, Bulawayo",India,field first,Bulawayo,Bulawayo,Zimbabwe,2001-06-30
Zimbabwe,West Indies,255,258,5,5,home,away,West Indies,5.0,wickets,Day,Coca-Cola Cup (Zimbabwe),Grant Flower,Zimbabwe,"Queens Sports Club, Bulawayo",West Indies,field first,Bulawayo,Bulawayo,Zimbabwe,2001-07-01
West Indies,India,229,230,5,4,away,away,India,6.0,wickets,Day,Coca-Cola Cup (Zimbabwe),Sachin Tendulkar,India,Harare Sports Club,India,field first,Harare,Harare,Zimbabwe,2001-07-04
West Indies,India,290,274,6,8,away,away,West Indies,16.0,runs,Day,Coca-Cola Cup (Zimbabwe),Corey Collymore,West Indies,Harare Sports Club,India,field first,Harare,Harare,Zimbabwe,2001-07-07
Sri Lanka,New Zealand,220,204,10,9,home,away,Sri Lanka,16.0,runs,Day and night,Coca-Cola Cup (Sri Lanka),Sanath Jayasuriya,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-07-18
New Zealand,India,211,127,8,10,away,away,New Zealand,84.0,runs,Day and night,Coca-Cola Cup (Sri Lanka),Nathan Astle,New Zealand,"R Premadasa Stadium, Colombo",New Zealand,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-07-20
Sri Lanka,India,221,215,9,7,home,away,Sri Lanka,6.0,runs,Day and night,Coca-Cola Cup (Sri Lanka),Suresh Perera,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-07-22
New Zealand,Sri Lanka,236,240,8,5,away,home,Sri Lanka,5.0,wickets,Day,Coca-Cola Cup (Sri Lanka),Russel Arnold,Sri Lanka,"R Premadasa Stadium, Colombo",New Zealand,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-07-25
New Zealand,India,200,133,10,10,away,away,New Zealand,67.0,runs,Day,Coca-Cola Cup (Sri Lanka),Dion Nash,New Zealand,"R Premadasa Stadium, Colombo",India,field first,Colombo (RPS),Khettarama,Sri Lanka,2001-07-26
Sri Lanka,India,183,184,10,3,home,away,India,7.0,wickets,Day,Coca-Cola Cup (Sri Lanka),VVS Laxman,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-07-28
Sri Lanka,New Zealand,221,115,6,9,home,away,Sri Lanka,106.0,runs,Day,Coca-Cola Cup (Sri Lanka),Chaminda Vaas,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",New Zealand,field first,Colombo (SSC),Colombo,Sri Lanka,2001-07-31
India,Sri Lanka,227,181,8,10,away,home,India,46.0,runs,Day,Coca-Cola Cup (Sri Lanka),Yuvraj Singh,India,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,field first,Colombo (SSC),Colombo,Sri Lanka,2001-08-01
New Zealand,India,264,267,7,3,away,away,India,7.0,wickets,Day,Coca-Cola Cup (Sri Lanka),Virender Sehwag,India,"Sinhalese Sports Club Ground, Colombo",New Zealand,bat first,Colombo (SSC),Colombo,Sri Lanka,2001-08-02
Sri Lanka,India,295,174,5,10,home,away,Sri Lanka,121.0,runs,Day and night,Coca-Cola Cup (Sri Lanka),Russel Arnold,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-08-05
West Indies,Kenya,311,205,4,10,away,home,West Indies,106.0,runs,Day,West Indies tour of Kenya,Chris Gayle,West Indies,"Simba Union Ground, Nairobi",Kenya,field first,Nairobi,Nairobi,Kenya,2001-08-15
Kenya,West Indies,192,193,10,4,home,away,West Indies,6.0,wickets,Day,West Indies tour of Kenya,Shivnarine Chanderpaul,West Indies,"Gymkhana Club Ground, Nairobi",Kenya,bat first,Nairobi (Gym),Nairobi,Kenya,2001-08-18
Kenya,West Indies,232,234,7,3,home,away,West Indies,7.0,wickets,Day,West Indies tour of Kenya,Steve Tikolo,Kenya,"Gymkhana Club Ground, Nairobi",Kenya,bat first,Nairobi (Gym),Nairobi,Kenya,2001-08-19
South Africa,Zimbabwe,363,210,3,5,away,home,South Africa,153.0,runs,Day,South Africa tour of Zimbabwe,Herschelle Gibbs,South Africa,"Queens Sports Club, Bulawayo",South Africa,bat first,Bulawayo,Bulawayo,Zimbabwe,2001-09-23
South Africa,Zimbabwe,272,124,7,10,away,home,South Africa,148.0,runs,Day,South Africa tour of Zimbabwe,Jonty Rhodes,South Africa,Harare Sports Club,South Africa,bat first,Harare,Harare,Zimbabwe,2001-09-29
Zimbabwe,South Africa,184,188,6,4,home,away,South Africa,6.0,wickets,Day,South Africa tour of Zimbabwe,Neil McKenzie,South Africa,Harare Sports Club,Zimbabwe,bat first,Harare,Harare,Zimbabwe,2001-09-30
Zimbabwe,England,206,210,10,5,home,away,England,5.0,wickets,Day,England tour of Zimbabwe,Jeremy Snape,England,Harare Sports Club,Zimbabwe,bat first,Harare,Harare,Zimbabwe,2001-10-03
India,South Africa,279,280,5,4,away,home,South Africa,6.0,wickets,Day and night,Standard Bank Triangular Tournament,Gary Kirsten,South Africa,"New Wanderers Stadium, Johannesburg",South Africa,field first,Johannesburg,Johannesburg,South Africa,2001-10-05
Zimbabwe,England,195,196,10,2,home,away,England,8.0,wickets,Day,England tour of Zimbabwe,Matthew Hoggard,England,Harare Sports Club,Zimbabwe,bat first,Harare,Harare,Zimbabwe,2001-10-06
Zimbabwe,England,261,265,8,6,home,away,England,4.0,wickets,Day,England tour of Zimbabwe,Andy Flower,Zimbabwe,Harare Sports Club,Zimbabwe,bat first,Harare,Harare,Zimbabwe,2001-10-07
Kenya,South Africa,159,160,7,3,away,home,South Africa,7.0,wickets,Day,Standard Bank Triangular Tournament,Shaun Pollock,South Africa,"Willowmoore Park, Benoni",Kenya,bat first,Benoni,Benoni,South Africa,2001-10-07
England,Zimbabwe,280,210,9,10,away,home,England,70.0,runs,Day,England tour of Zimbabwe,Paul Collingwood,England,"Queens Sports Club, Bulawayo",England,bat first,Bulawayo,Bulawayo,Zimbabwe,2001-10-10
India,South Africa,233,192,10,10,away,home,India,41.0,runs,Day and night,Standard Bank Triangular Tournament,Harbhajan Singh,India,"SuperSport Park, Centurion",India,bat first,Centurion,Centurion,South Africa,2001-10-10
Kenya,India,90,91,10,0,away,away,India,10.0,wickets,Day and night,Standard Bank Triangular Tournament,Ajit Agarkar,India,"Goodyear Park, Bloemfontein",Kenya,bat first,Bloemfontein,Bloemfontein,South Africa,2001-10-12
Zimbabwe,England,228,229,10,3,home,away,England,7.0,wickets,Day,England tour of Zimbabwe,Nick Knight,England,"Queens Sports Club, Bulawayo",Zimbabwe,bat first,Bulawayo,Bulawayo,Zimbabwe,2001-10-13
Kenya,South Africa,229,230,7,1,away,home,South Africa,9.0,wickets,Day,Standard Bank Triangular Tournament,Herschelle Gibbs,South Africa,"De Beers Diamond Oval, Kimberley",Kenya,bat first,Kimberley,Kimberley,South Africa,2001-10-14
Kenya,India,246,176,6,10,away,away,Kenya,70.0,runs,Day and night,Standard Bank Triangular Tournament,Joseph Angara,Kenya,"Crusaders Ground, St George's Park, Port Elizabeth",Kenya,bat first,Port Elizabeth,Port Elizabeth,South Africa,2001-10-17
South Africa,India,282,236,4,10,home,away,South Africa,46.0,runs,Day and night,Standard Bank Triangular Tournament,Sourav Ganguly,India,"Buffalo Park, East London",South Africa,bat first,East London,East London,South Africa,2001-10-19
South Africa,Kenya,354,146,3,10,home,away,South Africa,208.0,runs,Day and night,Standard Bank Triangular Tournament,Neil McKenzie,South Africa,"Newlands, Cape Town",South Africa,bat first,Cape Town,Cape Town,South Africa,2001-10-22
India,Kenya,351,165,3,5,away,away,India,186.0,runs,Day and night,Standard Bank Triangular Tournament,Sachin Tendulkar,India,"Boland Bank Park, Paarl",India,bat first,Paarl,Paarl,South Africa,2001-10-24
Sri Lanka,Zimbabwe,256,193,6,10,away,away,Sri Lanka,63.0,runs,Day and night,Khaleej Times Trophy,Charitha Buddhika,Sri Lanka,Sharjah Cricket Association Stadium,Sri Lanka,bat first,Sharjah,Sharjah,United Arab Emirates,2001-10-26
India,South Africa,183,187,10,4,away,home,South Africa,6.0,wickets,Day and night,Standard Bank Triangular Tournament,Shaun Pollock,South Africa,"Kingsmead, Durban",South Africa,field first,Durban,Durban,South Africa,2001-10-26
Pakistan,Sri Lanka,176,177,10,3,away,away,Sri Lanka,7.0,wickets,Day and night,Khaleej Times Trophy,Avishka Gunawardene,Sri Lanka,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,2001-10-27
Pakistan,Zimbabwe,279,173,6,10,away,away,Pakistan,106.0,runs,Day and night,Khaleej Times Trophy,Shahid Afridi,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,2001-10-28
Sri Lanka,Zimbabwe,250,171,10,8,away,away,Sri Lanka,79.0,runs,Day and night,Khaleej Times Trophy,Mahela Jayawardene,Sri Lanka,Sharjah Cricket Association Stadium,Sri Lanka,bat first,Sharjah,Sharjah,United Arab Emirates,2001-10-30
Pakistan,Zimbabwe,261,232,9,10,away,away,Pakistan,29.0,runs,Day and night,Khaleej Times Trophy,Grant Flower,Zimbabwe,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,2001-10-31
Sri Lanka,Pakistan,272,273,9,3,away,away,Pakistan,7.0,wickets,Day and night,Khaleej Times Trophy,Naved Latif,Pakistan,Sharjah Cricket Association Stadium,Sri Lanka,bat first,Sharjah,Sharjah,United Arab Emirates,2001-11-02
Sri Lanka,Pakistan,173,177,10,5,away,away,Pakistan,5.0,wickets,Day and night,Khaleej Times Trophy,Waqar Younis,Pakistan,Sharjah Cricket Association Stadium,Sri Lanka,bat first,Sharjah,Sharjah,United Arab Emirates,2001-11-04
Bangladesh,Zimbabwe,156,161,10,5,home,away,Zimbabwe,5.0,wickets,Day,Zimbabwe tour of Bangladesh,Craig Wishart,Zimbabwe,Chittagong Stadium,Zimbabwe,field first,Chattogram,Chattogram,Bangladesh,2001-11-23
Zimbabwe,Bangladesh,309,267,6,9,away,home,Zimbabwe,42.0,runs,Day and night,Zimbabwe tour of Bangladesh,Dion Ebrahim,Zimbabwe,"Bangabandhu National Stadium, Dhaka",Zimbabwe,bat first,Dhaka,Dhaka,Bangladesh,2001-11-25
Bangladesh,Zimbabwe,215,219,10,3,home,away,Zimbabwe,7.0,wickets,Day and night,Zimbabwe tour of Bangladesh,Dion Ebrahim,Zimbabwe,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat first,Dhaka,Dhaka,Bangladesh,2001-11-26
Zimbabwe,Sri Lanka,38,40,10,1,away,home,Sri Lanka,9.0,wickets,Day,LG Abans Triangular Series,Chaminda Vaas,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,field first,Colombo (SSC),Colombo,Sri Lanka,2001-12-08
West Indies,Zimbabwe,173,175,10,6,away,away,Zimbabwe,4.0,wickets,Day,LG Abans Triangular Series,Stuart Carlisle,Zimbabwe,"Sinhalese Sports Club Ground, Colombo",Zimbabwe,field first,Colombo (SSC),Colombo,Sri Lanka,2001-12-09
West Indies,Sri Lanka,250,201,8,10,away,home,West Indies,49.0,runs,Day and night,LG Abans Triangular Series,Corey Collymore,West Indies,"R Premadasa Stadium, Colombo",West Indies,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-12-11
Sri Lanka,Zimbabwe,272,213,7,10,home,away,Sri Lanka,59.0,runs,Day and night,LG Abans Triangular Series,Mahela Jayawardene,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-12-12
West Indies,Sri Lanka,235,239,10,2,away,home,Sri Lanka,8.0,wickets,Day,LG Abans Triangular Series,Mahela Jayawardene,Sri Lanka,"Asgiriya Stadium, Kandy",Sri Lanka,field first,Kandy,Kandy,Sri Lanka,2001-12-15
Zimbabwe,West Indies,154,155,10,2,away,away,West Indies,8.0,wickets,Day,LG Abans Triangular Series,Chris Gayle,West Indies,"Asgiriya Stadium, Kandy",West Indies,field first,Kandy,Kandy,Sri Lanka,2001-12-16
Sri Lanka,West Indies,253,212,8,7,home,away,Sri Lanka,34.0,runs,Day and night,LG Abans Triangular Series,Sanath Jayasuriya,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2001-12-19
New Zealand,Australia,199,176,8,10,away,home,New Zealand,23.0,runs,Day and night,VB Series,Chris Harris,New Zealand,Melbourne Cricket Ground,Australia,field first,Melbourne,Jolimont,Australia,2002-01-11
